,date,province,district,market,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice
119,5/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
120,5/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.77,0.3
121,5/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33.88,0.33
122,6/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,26.5,0.26
123,6/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,36.5,0.35
124,6/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.66,0.33
125,6/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33,0.32
126,6/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.5,0.29
127,6/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32,0.31
128,6/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31,0.3
129,6/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.5,0.33
130,6/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29,0.28
131,6/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
132,6/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34,0.33
133,6/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,42,0.41
134,6/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.29
135,6/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33.5,0.32
136,6/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.53,0.29
137,6/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.26,0.33
138,7/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
139,7/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.3,0.31
140,7/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.62,0.29
141,7/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31.5,0.3
142,7/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,35,0.34
143,7/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35.5,0.34
144,7/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.5,0.3
145,7/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
146,7/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.5,0.33
147,7/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.5,0.29
148,7/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
149,7/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.29
150,7/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33,0.32
151,7/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.07,0.3
152,8/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
153,8/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.66,0.32
154,8/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31.3,0.3
155,8/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.75,0.3
156,8/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35.5,0.34
157,8/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,41,0.39
158,8/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39,0.38
159,8/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.31
160,8/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,57.5,0.55
161,8/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
162,8/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38,0.37
163,8/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34,0.33
164,8/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (white),133,KG,Retail,LKR,29.54,0.28
165,8/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.89,0.34
166,9/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35,0.34
167,9/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31,0.3
168,9/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35.3,0.34
169,9/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,35.25,0.34
170,9/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.8,0.34
171,9/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,55,0.54
172,9/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,40,0.39
173,9/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,55,0.54
174,9/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.5,0.32
175,9/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34,0.33
176,9/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,35.5,0.35
177,9/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,60,0.59
178,9/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34,0.33
179,9/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.05,0.3
180,9/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (white),133,KG,Retail,LKR,29.92,0.29
181,10/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,22.5,0.21
182,10/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,40,0.38
183,10/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,27,0.25
184,10/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,40.3,0.38
185,10/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38.3,0.36
186,10/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,80,0.75
187,10/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31,0.29
188,10/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45.5,0.43
189,10/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.3
190,10/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,37,0.35
191,10/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.3
192,10/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45,0.42
193,10/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.5,0.31
194,10/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.3,0.37
195,10/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.75,0.3
196,11/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,28.25,0.26
197,11/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,48,0.44
198,11/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.67,0.31
199,11/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39,0.36
200,11/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38.4,0.35
201,11/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,100,0.92
202,11/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.3
203,11/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45,0.42
204,11/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,37.5,0.35
205,11/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,35,0.32
206,11/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,49,0.45
207,11/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,39.5,0.36
208,11/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.5,0.36
209,11/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,39.23,0.36
210,11/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (white),133,KG,Retail,LKR,31.78,0.29
211,11/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.81,0.37
212,12/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Rice (white),133,KG,Retail,LKR,34.32,0.32
213,12/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,40.06,0.37
214,1/15/2007,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.5,0.36
215,1/15/2007,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38,0.35
216,1/15/2007,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.8,0.3
217,1/15/2007,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38.8,0.36
218,1/15/2007,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,67.5,0.62
